chunk_id,doc_id,chunk_text,effective_date,exported_at
sla_p1_2026_24_fc231516f0114c70,sla_p1_2026,Thông báo stakeholder P1: update mỗi 30 phút cho đến khi resolve.,2026-01-15,2026-04-08T00:00:00
sla_p1_2026_25_29e614189d6816e4,sla_p1_2026,Kênh thông báo sự cố P1: Slack #incident-p1 và email incident@company.internal. PagerDuty tự động nhắn on-call.,2026-01-15,2026-04-10T00:00:00
sla_p1_2026_26_fa98f87eb0a48de9,sla_p1_2026,Ticket P2: phản hồi ban đầu 2 giờ và resolution 1 ngày làm việc. Escalation sau 90 phút không phản hồi.,2026-01-15,2026-04-08T00:00:00
it_helpdesk_faq_27_14f6a88992ff760c,it_helpdesk_faq,VPN: mỗi tài khoản được kết nối tối đa 2 thiết bị cùng lúc. Phần mềm sử dụng: Cisco AnyConnect.,2026-01-20,2026-04-09T00:00:00
it_helpdesk_faq_28_6ddf12ac94990375,it_helpdesk_faq,Mật khẩu phải được thay đổi mỗi 90 ngày. Hệ thống nhắc nhở 7 ngày trước khi hết hạn.,2026-01-20,2026-04-08T00:00:00
it_helpdesk_faq_29_6f6498c39d6d1255,it_helpdesk_faq,Quên mật khẩu: truy cập SSO portal hoặc liên hệ Helpdesk ext. 9000. Mật khẩu mới gửi qua email trong vòng 5 phút.,2026-01-20,2026-04-10T00:00:00
it_helpdesk_faq_30_ab5b5056ba48fc48,it_helpdesk_faq,Dung lượng hộp thư tiêu chuẩn là 50GB. Nếu đầy có thể xóa email cũ hoặc yêu cầu tăng dung lượng qua ticket IT-ACCESS.,2026-01-20,2026-04-09T00:00:00
it_helpdesk_faq_31_5ff46c351cc0b0df,it_helpdesk_faq,Laptop mới được cấp trong ngày onboarding đầu tiên. Liên hệ HR hoặc IT Admin nếu có vấn đề.,2026-01-20,2026-04-08T00:00:00
hr_leave_policy_32_3d0a837374a08c61,hr_leave_policy,Nhân viên từ 3 đến 5 năm kinh nghiệm được 15 ngày phép năm theo chính sách 2026.,2026-01-01,2026-04-09T00:00:00
hr_leave_policy_33_d3ca086b24b56027,hr_leave_policy,Nhân viên trên 5 năm kinh nghiệm được 18 ngày phép năm theo chính sách 2026.,2026-01-01,2026-04-10T00:00:00
hr_leave_policy_34_0147a63d0f995701,hr_leave_policy,Nghỉ ốm: 10 ngày/năm có trả lương. Cần giấy tờ y tế nếu nghỉ trên 3 ngày liên tiếp.,2026-01-01,2026-04-08T00:00:00
hr_leave_policy_35_451219a7dfaf921c,hr_leave_policy,Tối đa 5 ngày phép năm chưa dùng được chuyển sang năm tiếp theo.,2026-01-01,2026-04-09T00:00:00
hr_leave_policy_36_84d457762b204551,hr_leave_policy,Remote work: sau probation tối đa 2 ngày/tuần. Ngày onsite bắt buộc: Thứ 3 và Thứ 5.,2026-01-01,2026-04-10T00:00:00
hr_leave_policy_37_68464d21ae277881,hr_leave_policy,Nhân viên dưới 3 năm kinh nghiệm được 12 ngày phép năm theo chính sách 2026.,2026-01-01,2026-04-11T00:00:00
